UID,Watershed (HUC 8),Site #,T1: BKT,T2: BKT,T3: BKT,T1: BRT,T2: BRT,T3: BRT,,Temp,ph,DO,,*14 out of 88 sites occupied by BKT,,,,15.91
1,Upper Iowa River,1,0,0,0,1,0,1,,16.9,7.81,11.79,,*47 out of 88 sites occupied by BRT = 53.4%,,,,
2,Upper Iowa River,8,0,0,0,0,0,0,,12.9,8.6,11.64,,,,,,
3,Upper Iowa River,10,0,0,0,0,0,1,,13.1,9.4,13.5,,,,,,
4,Upper Iowa River,11,0,0,0,0,0,0,,10.6,8.45,11.24,,,,,,
5,Upper Iowa River,12,0,1,0,0,1,1,,11.7,9.02,15.53,,,,,,
6,Upper Iowa River,13,0,0,0,0,0,0,,15.9,8.1,9.74,,,,,,
7,Upper Iowa River,14,0,0,0,0,1,0,,13.4,8.68,11.84,,,,,,
8,Upper Iowa River,16,0,0,0,0,0,0,,14.6,8.06,10.55,,,,,,
9,Upper Iowa River,18,0,0,0,1,0,0,,NA,8.85,14.3,,,,,,
10,Upper Iowa River,22,0,0,0,1,1,1,,16.6,8.2,10.63,,,,,,
11,Upper Iowa River,26,0,0,0,1,0,1,,18.9,8.88,10.58,,,,,,
12,Upper Iowa River,27,0,0,0,0,0,0,,10.9,10.2,12.7,,,,,,
13,Upper Iowa River,29,0,0,0,0,0,0,*Fishless,14.2,9.43,10.97,,,,,,
14,Upper Iowa River,32,0,0,0,0,0,0,,15.3,8.32,10.88,,,,,,
15,Upper Iowa River,34,1,1,1,0,0,1,,13.9,8.39,12.09,,,,,,
16,Upper Iowa River,35,1,1,0,1,1,1,,12.2,8.45,12.21,,,,,,
17,Upper Iowa River,36,0,0,0,0,0,0,,19.7,8.72,11.66,,,,,,
18,Upper Iowa River,38,0,0,0,1,1,1,,11.8,8.55,10.5,,,,,,
19,Upper Iowa River,41,0,0,0,0,0,0,,21.7,8.92,15.05,,,,,,
20,Upper Iowa River,48,0,0,0,0,0,0,,15,8.58,14.08,,,,,,
21,Upper Iowa River,57,0,0,0,0,0,0,,14.3,7.91,8.19,,,,,,
22,Upper Iowa River,61,0,0,0,1,0,1,,16.2,8.78,11.76,,,,,,
23,Upper Iowa River,75,0,0,0,0,0,0,,16.1,8.03,11.66,,,,,,
24,Upper Iowa River,84,0,0,0,0,0,0,,15.6,7.99,10.52,,,,,,
25,Upper Iowa River,85,1,0,0,1,1,1,,15.9,8.11,11.78,,,,,,
26,Upper Iowa River,86,0,0,0,1,1,1,,NA,NA,NA,,,,,,
27,Upper Iowa River,93,0,0,1,0,0,0,,15.7,8.54,11.63,,,,,,
28,Upper Iowa River,96,0,0,0,0,0,0,,17.6,8.47,8.81,,,,,,
29,Upper Iowa River,108,0,0,0,0,0,0,,17.7,7.97,12.27,,,,,,
30,Upper Iowa River,109,0,0,0,1,0,0,,13.6,8.95,11.36,,,,,,
31,Upper Iowa River,117,1,1,1,1,1,1,,12.4,7.84,12.06,,,,,,
32,Upper Iowa River,118,0,0,0,0,0,0,,20,8.5,12.23,,,,,,
33,Upper Iowa River,123,0,0,0,1,1,1,,14.3,10.21,9.65,,,,,,
34,Upper Iowa River,128,0,0,0,0,0,0,,15.7,7.68,11.04,,,,,,
35,Upper Iowa River,130,1,1,0,1,1,1,,11.2,7.7,7.4,,,,,,
